"","AIR_INDIA","BRITISH_AIRWAYS","EMIRATES","QATAR_AIRWAYS","LUFTHANSA"
"BOM","166","149000000","149000000","223","149000000"
"NYC","149000000","149000000","149000000","1222","149000000"
"DXB","149000000","149000000","149000000","149000000","149000000"
"LHR","149000000","715","149000000","771","149000000"
"FRA","149000000","149000000","149000000","616","149000000"
"DOH","0","0","0","0","0"
